iter	Passed	Remaining
622	90738	54909
623	90892	54768
624	91058	54635
625	91395	54603
626	91562	54470
627	91775	54364
628	91981	54252
629	92159	54125
630	92297	53974
631	92492	53856
632	92676	53732
633	92770	53555
634	92874	53384
635	93308	53403
636	93564	53318
637	93829	53238
638	94044	53129
639	94181	52977
640	94335	52833
641	94432	52658
642	94792	52629
643	95138	52591
644	95375	52493
645	95677	52430
646	95979	52365
647	96386	52357
648	96653	52273
649	96963	52210
650	97253	52137
651	97522	52051
652	97939	52044
653	98198	51952
654	98499	51881
655	98724	51769
656	99041	51706
657	99319	51621
658	99725	51602
659	99954	51491
660	100376	51479
661	100573	51350
662	100709	51190
663	100884	51050
664	101043	50901
665	101192	50748
666	101489	50668
667	101601	50496
668	101699	50317
669	101836	50158
670	102210	50115
671	102493	50026
672	102652	49877
673	102798	49721
674	102881	49535
675	103070	49400
676	103190	49232
677	103276	49048
678	103397	48881
679	103592	48749
680	103676	48565
681	103790	48395
682	103951	48246
683	104382	48223
684	104575	48089
685	104721	47933
686	104811	47752
687	104914	47577
688	105110	47444
689	105196	47262
690	105288	47082
691	105438	46929
692	105536	46752
693	105677	46595
694	105803	46431
695	106186	46380
696	106470	46284
697	106663	46149
698	106794	45987
699	106888	45809
700	106984	45632
701	107187	45501
702	107278	45322
703	107380	45148
704	107525	44993
705	107798	44890
706	108022	44767
707	108143	44601
708	108345	44468
709	108465	44302
710	108557	44125
711	108682	43961
712	108848	43814
713	108949	43640
714	109044	43465
715	109178	43305
716	109336	43154
717	109515	43013
718	109616	42840
719	109705	42663
720	109853	42509
721	109958	42338
722	110044	42160
723	110170	41998
724	110352	41857
725	110492	41700
726	110656	41553
727	110971	41461
728	111206	41340
729	111553	41259
730	111757	41125
731	112056	41025
732	112354	40925
733	112579	40798
734	112720	40640
735	112846	40477
736	112968	40313
737	113076	40143
738	113172	39970
739	113268	39797
740	113401	39636
741	113520	39472
742	113616	39299
743	113754	39141
744	113905	38987
745	114058	38834
746	114164	38666
747	114263	38495
748	114362	38324
749	114552	38184
750	114639	38009
751	114737	37838
752	114874	37681
753	114973	37511
754	115113	37354
755	115216	37186
756	115312	37015
757	115626	36914
758	115846	36783
759	116005	36633
760	116241	36506
761	116472	36378
762	116727	36257
763	117291	36231
764	117568	36115
765	117731	35965
766	117931	35825
767	118168	35696
768	118497	35595
769	118696	35454
770	118939	35327
771	119177	35197
772	119447	35077
773	119685	34946
774	119975	34831
775	120246	34710
776	120508	34586
777	120804	34471
778	121051	34341
779	121392	34238
780	121568	34089
781	121776	33947
782	121880	33777
783	122090	33637
784	122203	33469
785	122291	33295
786	122507	33156
787	122628	32991
788	122715	32817
789	122878	32663
790	123127	32533
791	123220	32360
792	123462	32227
793	123711	32096
794	123932	31957
795	124265	31846
796	124482	31706
797	124738	31575
798	124907	31422
799	125089	31272
800	125261	31119
801	125431	30966
802	125846	30873
803	126011	30719
804	126189	30567
805	126329	30406
806	126496	30252
807	126602	30083
808	126971	29977
809	127163	29828
810	127391	29687
811	127493	29518
812	127656	29362
813	127874	29219
814	128044	29065
815	128207	28909
816	128411	28762
817	128621	28617
818	128821	28469
819	129031	28323
820	129140	28156
821	129236	27985
822	129465	27843
823	129674	27697
824	129810	27535
825	129977	27380
826	130071	27209
827	130159	27037
828	130303	26877
829	130461	26721
830	131135	26669
831	131276	26507
832	131523	26367
833	131864	26246
834	131964	26076
835	132098	25914
836	132318	25768
837	132469	25608
838	132702	25464
839	132834	25301
840	133006	25146
841	133217	24998
842	133377	24840
843	133737	24719
844	133895	24560
845	134111	24412
846	134298	24259
847	134476	24104
848	134602	23939
849	134851	23797
850	135002	23637
851	135185	23482
852	135352	23325
853	135534	23171
854	135664	23007
855	135949	22870
856	136163	22720
857	136531	22596
858	136636	22428
859	136761	22263
860	136932	22106
861	137078	21945
862	137191	21778
863	137284	21609
864	137461	21453
865	137604	21292
866	137698	21123
867	137783	20953
868	137996	20802
869	138101	20635
870	138194	20467
871	138326	20304
872	138447	20140
873	138614	19983
874	138726	19818
875	138819	19650
876	139008	19496
877	139173	19338
878	139262	19170
879	139390	19007
880	139580	18853
881	139709	18691
882	139798	18523
883	139890	18356
884	140068	18201
885	140171	18035
886	140270	17869
887	140399	17708
888	140500	17542
889	140652	17383
890	140789	17223
891	140889	17058
892	140978	16892
893	141154	16736
894	141257	16572
895	141356	16407
896	141496	16247
897	141585	16082
898	141737	15923
899	141839	15759
900	141925	15594
901	142061	15434
902	142193	15274
903	142301	15111
904	142437	14952
905	142565	14791
906	142692	14631
907	142853	14474
908	142943	14310
909	143027	14145
910	143226	13992
911	143311	13828
912	143395	13664
913	143542	13506
914	143628	13342
915	143754	13182
916	143888	13023
917	143973	12860
918	144095	12700
919	144238	12542
920	144366	12383
921	144501	12224
922	144618	12064
923	144715	11903
924	144884	11747
925	145029	11589
926	145111	11427
927	145214	11266
928	145384	11111
929	145475	10949
930	145577	10789
931	145713	10631
932	145799	10470
933	145925	10311
934	146052	10153
935	146146	9992
936	146263	9834
937	146462	9680
938	146567	9521
939	146697	9363
940	146876	9209
941	147091	9056
942	147271	8901
943	147443	8746
944	147836	8604
945	148185	8458
946	148354	8302
947	148579	8149
948	148697	7991
949	148800	7831
950	148986	7676
951	149228	7524
952	149393	7367
953	149554	7211
954	149677	7052
955	149798	6894
956	149958	6737
957	150193	6584
958	150324	6426
959	150509	6271
960	150707	6116
961	150898	5960
962	151040	5803
963	151217	5647
964	151387	5490
965	151535	5333
966	151635	5174
967	151841	5019
968	152023	4863
969	152233	4708
970	152349	4550
971	152504	4393
972	152635	4235
973	152828	4079
974	152989	3922
975	153119	3765
976	153387	3610
977	153532	3453
978	153668	3296
979	153891	3140
980	154085	2984
981	154264	2827
982	154427	2670
983	154583	2513
984	154708	2355
985	154830	2198
986	155097	2042
987	155285	1886
988	155509	1729
989	155595	1571
990	155683	1413
991	155846	1256
992	156058	1100
993	156237	943
994	156400	785
995	156584	628
996	156732	471
997	156941	314
998	157167	157
999	157344	0
